staging_url,intended_production_url,object_type,object_id,title,slug,canonical,indexable_after_launch,sitemap_expected,notes
https://staging2.braveheartspublishing.com/product/adventures-of-charlotte-and-henry-the-amazon-paperback/,https://www.braveheartspublishing.com/product/adventures-of-charlotte-and-henry-the-amazon-paperback/,product,18,Adventures of Charlotte and Henry: The Amazon (Paperback),adventures-of-charlotte-and-henry-the-amazon-paperback,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/product/adventures-of-charlotte-and-henry-mount-everest-hardcover/,https://www.braveheartspublishing.com/product/adventures-of-charlotte-and-henry-mount-everest-hardcover/,product,17,Adventures of Charlotte and Henry: Mount Everest (Hardcover),adventures-of-charlotte-and-henry-mount-everest-hardcover,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/product/adventures-of-charlotte-and-henry-mount-everest-paperback/,https://www.braveheartspublishing.com/product/adventures-of-charlotte-and-henry-mount-everest-paperback/,product,15,Adventures of Charlotte and Henry: Mount Everest (Paperback),adventures-of-charlotte-and-henry-mount-everest-paperback,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/product/adventures-of-charlotte-and-henry-the-mariana-trench-hardcover/,https://www.braveheartspublishing.com/product/adventures-of-charlotte-and-henry-the-mariana-trench-hardcover/,product,14,Adventures of Charlotte and Henry: The Mariana Trench (Hardcover),adventures-of-charlotte-and-henry-the-mariana-trench-hardcover,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/product/adventures-of-charlotte-and-henry-the-mariana-trench-paperback/,https://www.braveheartspublishing.com/product/adventures-of-charlotte-and-henry-the-mariana-trench-paperback/,product,12,Adventures of Charlotte and Henry: The Mariana Trench (Paperback),adventures-of-charlotte-and-henry-the-mariana-trench-paperback,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/blog/category/adventure/,https://www.braveheartspublishing.com/blog/category/adventure/,category,148,Adventure,adventure,,no,review,count=2
https://staging2.braveheartspublishing.com/blog/category/adventure-book-recommendations/,https://www.braveheartspublishing.com/blog/category/adventure-book-recommendations/,category,196,Adventure Book Recommendations,adventure-book-recommendations,,no,review,count=1
https://staging2.braveheartspublishing.com/blog/category/age-specific-reading-lists/,https://www.braveheartspublishing.com/blog/category/age-specific-reading-lists/,category,50,Age-Specific Reading Lists,age-specific-reading-lists,,no,review,count=1
https://staging2.braveheartspublishing.com/blog/category/ages-6-9/,https://www.braveheartspublishing.com/blog/category/ages-6-9/,category,88,Ages 6-9,ages-6-9,,no,review,count=2
https://staging2.braveheartspublishing.com/blog/category/author-life/,https://www.braveheartspublishing.com/blog/category/author-life/,category,134,Author Life,author-life,,no,review,count=3
https://staging2.braveheartspublishing.com/blog/category/book-news/,https://www.braveheartspublishing.com/blog/category/book-news/,category,135,Book News,book-news,,no,review,count=1
https://staging2.braveheartspublishing.com/blog/category/book-recommendations/,https://www.braveheartspublishing.com/blog/category/book-recommendations/,category,60,Book recommendations,book-recommendations,,no,review,count=6
https://staging2.braveheartspublishing.com/blog/category/books-for-kids/,https://www.braveheartspublishing.com/blog/category/books-for-kids/,category,118,Books for Kids,books-for-kids,,no,review,count=1
https://staging2.braveheartspublishing.com/blog/category/bridge-books/,https://www.braveheartspublishing.com/blog/category/bridge-books/,category,49,Bridge Books,bridge-books,,no,review,count=11
https://staging2.braveheartspublishing.com/blog/category/childrens-books/,https://www.braveheartspublishing.com/blog/category/childrens-books/,category,70,children's books,childrens-books,,no,review,count=1
https://staging2.braveheartspublishing.com/blog/category/classroom-resources/,https://www.braveheartspublishing.com/blog/category/classroom-resources/,category,129,Classroom Resources,classroom-resources,,no,review,count=2
https://staging2.braveheartspublishing.com/blog/category/early-readers/,https://www.braveheartspublishing.com/blog/category/early-readers/,category,87,Early Readers,early-readers,,no,review,count=2
https://staging2.braveheartspublishing.com/blog/category/null-null/,https://www.braveheartspublishing.com/blog/category/null-null/,category,33,null - null,null-null,,no,review,count=0
https://staging2.braveheartspublishing.com/blog/category/ocean-science/,https://www.braveheartspublishing.com/blog/category/ocean-science/,category,61,Ocean Science,ocean-science,,no,review,count=1
https://staging2.braveheartspublishing.com/blog/category/read-alouds/,https://www.braveheartspublishing.com/blog/category/read-alouds/,category,128,Read alouds,read-alouds,,no,review,count=1
https://staging2.braveheartspublishing.com/blog/category/reading-development/,https://www.braveheartspublishing.com/blog/category/reading-development/,category,108,Reading Development,reading-development,,no,review,count=1
https://staging2.braveheartspublishing.com/blog/category/reading-help-for-parents/,https://www.braveheartspublishing.com/blog/category/reading-help-for-parents/,category,102,Reading Help for Parents,reading-help-for-parents,,no,review,count=3
https://staging2.braveheartspublishing.com/blog/category/reading-levels-lexile/,https://www.braveheartspublishing.com/blog/category/reading-levels-lexile/,category,115,Reading Levels &amp; Lexile,reading-levels-lexile,,no,review,count=2
https://staging2.braveheartspublishing.com/blog/category/reading-lists/,https://www.braveheartspublishing.com/blog/category/reading-lists/,category,191,Reading Lists,reading-lists,,no,review,count=1
https://staging2.braveheartspublishing.com/blog/category/reading-tips/,https://www.braveheartspublishing.com/blog/category/reading-tips/,category,86,Reading Tips,reading-tips,,no,review,count=3
https://staging2.braveheartspublishing.com/blog/category/reading-tips-for-parents/,https://www.braveheartspublishing.com/blog/category/reading-tips-for-parents/,category,84,Reading Tips for Parents,reading-tips-for-parents,,no,review,count=4
https://staging2.braveheartspublishing.com/blog/category/reluctant-readers/,https://www.braveheartspublishing.com/blog/category/reluctant-readers/,category,101,Reluctant Readers,reluctant-readers,,no,review,count=3
